ID,Paper,Year,Publisher,Link,UML,UML_Image,Stage,Human Roles,AI Roles,Controls,Human modality,AI modality,Efficiency,Reliability,Interuption,Persistence,Expressive,Interpretability,Target user,Explanation
4,Mixed-initiative visual analytics using task-driven recommendations,2015,TVCG,https://faculty.cc.gatech.edu/~aendert3/resources/cook-vast-2015.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Interact [workspace]

    note over H,A: Insight Synthesis
    A ->> A: Infer [task model]
    A ->> H: Recommend [data, relationships, explanations]

    alt Decision
        H ->> H: Integrate [recommendation into analysis]
    else Ignore
        H ->> A: Refine [workspace organization]
    end
    A ->> H: Provide [new recommendations]",,Insight Synthesis,"Refiner, Selector","Recommender, Selector",Decision,,Text Vis,Medium,High,High,One-shot,High,High,general user,"The AI infers task models and recommends data and relations, the user integrates or ignores."
5,TimeFork: Interactive Prediction of Time Series,2016,TVCG,https://users.umiacs.umd.edu/~elm/projects/timefork/timefork.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [data]

    note over H,A: Visualization
    A ->> H: Predict [future]

    note over H,A: Insight Synthesis
    H ->> A: Select [scenario]
    A ->> H: Update [prediction]
    par Alternatives
        H ->> A: Change [assumption]
        A ->> H: Show [prediction]
    end",,Data Preparation,Executor,,Sequential,Text,,High,Medium,Low,One-shot,Medium,Medium,domain expert,The user provides time series data.
5,TimeFork: Interactive Prediction of Time Series,2016,TVCG,https://users.umiacs.umd.edu/~elm/projects/timefork/timefork.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [data]

    note over H,A: Visualization
    A ->> H: Predict [future]

    note over H,A: Insight Synthesis
    H ->> A: Select [scenario]
    A ->> H: Update [prediction]
    par Alternatives
        H ->> A: Change [assumption]
        A ->> H: Show [prediction]
    end",,Visualization,,,Sequential,,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,The system predicts the future and displays charts.
5,TimeFork: Interactive Prediction of Time Series,2016,TVCG,https://users.umiacs.umd.edu/~elm/projects/timefork/timefork.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [data]

    note over H,A: Visualization
    A ->> H: Predict [future]

    note over H,A: Insight Synthesis
    H ->> A: Select [scenario]
    A ->> H: Update [prediction]
    par Alternatives
        H ->> A: Change [assumption]
        A ->> H: Show [prediction]
    end",,Insight Synthesis,"Refiner, Selector",Refiner,Parallel,Vis,,Medium,High,Low,Continuous,High,High,domain expert,"The user selects scenarios or modifies assumptions, the system updates predictions."
6,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,2016,CHI,https://doi.org/10.1109/TVCG.2015.2467191,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Select [variables]

    note over H,A: Visualization
    A ->> H: Recommend [views]
    H ->> A: Browse [gallery]

    note over H,A: Insight Synthesis
    alt Targeted
        H ->> A: Refine [encoding]
        A ->> H: Update [chart]
    else Broad
        H ->> A: Explore [suggestions]
        A ->> H: Expand [coverage]
    end",,Data Preparation,"Evaluator, Refiner",Refiner,Sequential,Widget Text,,High,Medium,Low,One-shot,Medium,Medium,general user,The user selects data variables.
6,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,2016,CHI,https://doi.org/10.1109/TVCG.2015.2467191,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Select [variables]

    note over H,A: Visualization
    A ->> H: Recommend [views]
    H ->> A: Browse [gallery]

    note over H,A: Insight Synthesis
    alt Targeted
        H ->> A: Refine [encoding]
        A ->> H: Update [chart]
    else Broad
        H ->> A: Explore [suggestions]
        A ->> H: Expand [coverage]
    end",,Visualization,Specifier,,Sequential,,Vis,Medium,Medium,Low,One-shot,Low,High,general user,"The AI recommends candidate views, presenting a gallery of charts."
6,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,2016,CHI,https://doi.org/10.1109/TVCG.2015.2467191,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Select [variables]

    note over H,A: Visualization
    A ->> H: Recommend [views]
    H ->> A: Browse [gallery]

    note over H,A: Insight Synthesis
    alt Targeted
        H ->> A: Refine [encoding]
        A ->> H: Update [chart]
    else Broad
        H ->> A: Explore [suggestions]
        A ->> H: Expand [coverage]
    end",,Insight Synthesis,,"Analyzer, Recommender",Decision,Vis,,Medium,High,High,One-shot,High,High,general user,"The user refines encodings or browses suggestions, the system updates or extends chart coverage."
7,Visualization by Demonstration: An Interaction Paradigm for Visual Data Exploration,2016,TVCG,https://doi.org/10.1109/TVCG.2016.2598839,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Provide [demonstration]

    note over H,A: Visualization
    A ->> H: Recommend [transformation]

    note over H,A: Insight Synthesis
    opt Refine
        H ->> A: Modify [demonstration]
        A ->> H: Update [recommendation]
    end
    H ->> A: Select [visualization]",,Goal Setting,Specifier,,Sequential,Sketch Vis,,Medium,Medium,Low,One-shot,High,Low,general user,The user modifies a visualization directly through demonstration.
7,Visualization by Demonstration: An Interaction Paradigm for Visual Data Exploration,2016,TVCG,https://doi.org/10.1109/TVCG.2016.2598839,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Provide [demonstration]

    note over H,A: Visualization
    A ->> H: Recommend [transformation]

    note over H,A: Insight Synthesis
    opt Refine
        H ->> A: Modify [demonstration]
        A ->> H: Update [recommendation]
    end
    H ->> A: Select [visualization]",,Visualization,,Recommender,Sequential,,Vis,Medium,Medium,Low,One-shot,Low,High,general user,The system recommends transformations based on demonstrations.
7,Visualization by Demonstration: An Interaction Paradigm for Visual Data Exploration,2016,TVCG,https://doi.org/10.1109/TVCG.2016.2598839,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Provide [demonstration]

    note over H,A: Visualization
    A ->> H: Recommend [transformation]

    note over H,A: Insight Synthesis
    opt Refine
        H ->> A: Modify [demonstration]
        A ->> H: Update [recommendation]
    end
    H ->> A: Select [visualization]",,Insight Synthesis,"Refiner, Selector",Refiner,Repetitive,Vis,,Medium,High,Medium,Continuous,High,High,general user,"The user refines demonstrations, the system updates recommendations, and selects the final visualization."
8,Voyager 2: Augmenting visual analysis with partial view specifications,2017,TVCG,https://idl.cs.washington.edu/files/2017-Voyager2-CHI.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [partial-spec]

    note over H,A: Visualization
    A ->> H: Generate [wildcards]
    A ->> H: Recommend [views]

    note over H,A: Insight Synthesis
    alt Focused
        H ->> A: Refine [chart]
        A ->> H: Update [view]
    else Exploratory
        H ->> A: Browse [related]
        A ->> H: Suggest [alternatives]
    end",,Data Preparation,Selector,,Sequential,Text Vis Widget,,High,Medium,Low,One-shot,Medium,Medium,general user,The user provides partial chart specifications.
8,Voyager 2: Augmenting visual analysis with partial view specifications,2017,TVCG,https://idl.cs.washington.edu/files/2017-Voyager2-CHI.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [partial-spec]

    note over H,A: Visualization
    A ->> H: Generate [wildcards]
    A ->> H: Recommend [views]

    note over H,A: Insight Synthesis
    alt Focused
        H ->> A: Refine [chart]
        A ->> H: Update [view]
    else Exploratory
        H ->> A: Browse [related]
        A ->> H: Suggest [alternatives]
    end",,Visualization,,Analyzer,Sequential,,Vis,Medium,Medium,Low,One-shot,Low,High,general user,The system generates wildcard charts and recommends related views.
8,Voyager 2: Augmenting visual analysis with partial view specifications,2017,TVCG,https://idl.cs.washington.edu/files/2017-Voyager2-CHI.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [partial-spec]

    note over H,A: Visualization
    A ->> H: Generate [wildcards]
    A ->> H: Recommend [views]

    note over H,A: Insight Synthesis
    alt Focused
        H ->> A: Refine [chart]
        A ->> H: Update [view]
    else Exploratory
        H ->> A: Browse [related]
        A ->> H: Suggest [alternatives]
    end",,Insight Synthesis,,Generator,Decision,Vis,,Medium,High,High,One-shot,High,High,general user,"The user refines or browses related charts, the system updates recommendations."
9,The Exploratory Labeling Assistant: Mixed-Initiative Label Curation with Large Document Collections,2018,CHI,https://doi.org/10.1145/3242587.3242596,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Ideate [label]

    note over H,A: Data Preparation
    A ->> H: Suggest [term]
    H ->> A: Specify [rule]

    note over H,A: Visualization
    A ->> H: Match [documents]

    note over H,A: Insight Synthesis
    H ->> A: Evaluate [labels]
    A ->> H: Recommend [refinement]",,Goal Setting,Recommender,,Sequential,Text,,Medium,Medium,Low,One-shot,High,Low,domain expert,The user proposes initial labeling ideas.
9,The Exploratory Labeling Assistant: Mixed-Initiative Label Curation with Large Document Collections,2018,CHI,https://doi.org/10.1145/3242587.3242596,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Ideate [label]

    note over H,A: Data Preparation
    A ->> H: Suggest [term]
    H ->> A: Specify [rule]

    note over H,A: Visualization
    A ->> H: Match [documents]

    note over H,A: Insight Synthesis
    H ->> A: Evaluate [labels]
    A ->> H: Recommend [refinement]",,Data Preparation,Transformer,Recommender,Sequential,Text,,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The system suggests terminology, the user defines rules."
9,The Exploratory Labeling Assistant: Mixed-Initiative Label Curation with Large Document Collections,2018,CHI,https://doi.org/10.1145/3242587.3242596,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Ideate [label]

    note over H,A: Data Preparation
    A ->> H: Suggest [term]
    H ->> A: Specify [rule]

    note over H,A: Visualization
    A ->> H: Match [documents]

    note over H,A: Insight Synthesis
    H ->> A: Evaluate [labels]
    A ->> H: Recommend [refinement]",,Visualization,,,Sequential,,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,The system matches documents to labels and visualizes coverage.
9,The Exploratory Labeling Assistant: Mixed-Initiative Label Curation with Large Document Collections,2018,CHI,https://doi.org/10.1145/3242587.3242596,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Ideate [label]

    note over H,A: Data Preparation
    A ->> H: Suggest [term]
    H ->> A: Specify [rule]

    note over H,A: Visualization
    A ->> H: Match [documents]

    note over H,A: Insight Synthesis
    H ->> A: Evaluate [labels]
    A ->> H: Recommend [refinement]",,Insight Synthesis,Evaluator,Recommender,Sequential,Text,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The user evaluates labels, the system recommends further refinement."
10,Podium: Ranking Data Using Mixed-Initiative Visual Analytics,2018,UIST,https://cav-lab.github.io/media/papers/PodiumVAST17.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Rank [subset]

    note over H,A: Data Preparation
    A ->> H: Infer [weights]

    note over H,A: Visualization
    A ->> H: Generate [ranking]

    note over H,A: Insight Synthesis
    opt Preference Adjustment
        H ->> A: Adjust [preference]
        A ->> H: Update [model]
    end
    H ->> A: Interpret [attributes]",,Goal Setting,,Generator,Sequential,Widget,,Medium,Medium,Low,One-shot,High,Low,general user,The user sorts data by dragging table rows.
10,Podium: Ranking Data Using Mixed-Initiative Visual Analytics,2018,UIST,https://cav-lab.github.io/media/papers/PodiumVAST17.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Rank [subset]

    note over H,A: Data Preparation
    A ->> H: Infer [weights]

    note over H,A: Visualization
    A ->> H: Generate [ranking]

    note over H,A: Insight Synthesis
    opt Preference Adjustment
        H ->> A: Adjust [preference]
        A ->> H: Update [model]
    end
    H ->> A: Interpret [attributes]",,Data Preparation,Evaluator,,Sequential,,Text,High,Medium,Low,One-shot,Medium,Medium,general user,The system infers a weighting model.
10,Podium: Ranking Data Using Mixed-Initiative Visual Analytics,2018,UIST,https://cav-lab.github.io/media/papers/PodiumVAST17.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Rank [subset]

    note over H,A: Data Preparation
    A ->> H: Infer [weights]

    note over H,A: Visualization
    A ->> H: Generate [ranking]

    note over H,A: Insight Synthesis
    opt Preference Adjustment
        H ->> A: Adjust [preference]
        A ->> H: Update [model]
    end
    H ->> A: Interpret [attributes]",,Visualization,Selector,,Sequential,,Vis,Medium,Medium,Medium,Continuous,Low,High,general user,The system generates a ranked table view.
10,Podium: Ranking Data Using Mixed-Initiative Visual Analytics,2018,UIST,https://cav-lab.github.io/media/papers/PodiumVAST17.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Rank [subset]

    note over H,A: Data Preparation
    A ->> H: Infer [weights]

    note over H,A: Visualization
    A ->> H: Generate [ranking]

    note over H,A: Insight Synthesis
    opt Preference Adjustment
        H ->> A: Adjust [preference]
        A ->> H: Update [model]
    end
    H ->> A: Interpret [attributes]",,Insight Synthesis,,Interpreter,Repetitive,Vis Widget,,Medium,High,Low,One-shot,High,High,general user,"The user adjusts preferences, the system updates the model and shows attribute contributions."
11,Managing Messes in Computational Notebooks,2019,TVCG,https://dl.acm.org/doi/10.1145/3290605.3300500,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [result]

    note over H,A: Data Preparation
    A ->> H: Slice [code]

    note over H,A: Insight Synthesis
    H ->> A: Review [history]
    opt Clean
        H ->> A: Remove [cell]
        A ->> H: Update [notebook]
    end
    opt Compare
        H ->> A: Request [version]
        A ->> H: Retrieve [slice]
    end",,Goal Setting,Executor,,Sequential,Vis Widget,,Medium,Medium,Low,One-shot,High,Low,general user,The user selects results to keep or clean.
11,Managing Messes in Computational Notebooks,2019,TVCG,https://dl.acm.org/doi/10.1145/3290605.3300500,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [result]

    note over H,A: Data Preparation
    A ->> H: Slice [code]

    note over H,A: Insight Synthesis
    H ->> A: Review [history]
    opt Clean
        H ->> A: Remove [cell]
        A ->> H: Update [notebook]
    end
    opt Compare
        H ->> A: Request [version]
        A ->> H: Retrieve [slice]
    end",,Data Preparation,,"Generator, Recommender",Sequential,,Code,High,Medium,Medium,Continuous,Medium,Medium,general user,The AI segments relevant code snippets.
11,Managing Messes in Computational Notebooks,2019,TVCG,https://dl.acm.org/doi/10.1145/3290605.3300500,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [result]

    note over H,A: Data Preparation
    A ->> H: Slice [code]

    note over H,A: Insight Synthesis
    H ->> A: Review [history]
    opt Clean
        H ->> A: Remove [cell]
        A ->> H: Update [notebook]
    end
    opt Compare
        H ->> A: Request [version]
        A ->> H: Retrieve [slice]
    end",,Insight Synthesis,"Refiner, Selector","Recommender, Refiner",Repetitive,Text Widget,Code,Medium,High,Low,One-shot,High,High,general user,"The user reviews history, cleans cells, compares versions, and the AI updates the notebook."
12,Visual Analytics for Topic Model Optimization based on User-Steerable Speculative Execution,2019,CHI,https://doi.org/10.1109/TVCG.2018.2864769,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Initialize [seed]  
    A ->> A: Build [model]  

    note over H,A: Visualization
    A ->> H: Display [tree]  

    note over H,A: Insight Synthesis
    A ->> H: Request [feedback]  
    alt Quality drop
        A ->> H: Propose [option]  
        H ->> A: Select [option]  
        A ->> H: Preview [effect]  
    end
    H ->> A: Confirm [update]  
    A ->> H: Improve [model]",,Data Preparation,Executor,Executor,Sequential,Text,,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The user sets an initial seed, the AI builds a model."
12,Visual Analytics for Topic Model Optimization based on User-Steerable Speculative Execution,2019,CHI,https://doi.org/10.1109/TVCG.2018.2864769,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Initialize [seed]  
    A ->> A: Build [model]  

    note over H,A: Visualization
    A ->> H: Display [tree]  

    note over H,A: Insight Synthesis
    A ->> H: Request [feedback]  
    alt Quality drop
        A ->> H: Propose [option]  
        H ->> A: Select [option]  
        A ->> H: Preview [effect]  
    end
    H ->> A: Confirm [update]  
    A ->> H: Improve [model]",,Visualization,,Presenter,Sequential,,Vis,Medium,Medium,High,One-shot,Low,High,domain expert,The AI presents a topic tree view.
12,Visual Analytics for Topic Model Optimization based on User-Steerable Speculative Execution,2019,CHI,https://doi.org/10.1109/TVCG.2018.2864769,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Initialize [seed]  
    A ->> A: Build [model]  

    note over H,A: Visualization
    A ->> H: Display [tree]  

    note over H,A: Insight Synthesis
    A ->> H: Request [feedback]  
    alt Quality drop
        A ->> H: Propose [option]  
        H ->> A: Select [option]  
        A ->> H: Preview [effect]  
    end
    H ->> A: Confirm [update]  
    A ->> H: Improve [model]",,Insight Synthesis,"Evaluator, Selector","Evaluator, Recommender, Refiner",Decision,,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The AI proposes optimizations, the user previews and selects, the system updates the model."
13,Interactive Learning for Identifying Relevant Tweets to Support  Real-time Situational Awareness,2020,TVCG,http://arxiv.org/abs/1908.02588,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    A ->> H: Classify [tweet]

    note over H,A: Insight Synthesis
    H ->> A: Verify [label]
    opt Correction
        H ->> A: Relabel [data]
        A ->> H: Retrain [model]
    end
    A ->> H: Update [prediction]",,Data Preparation,,Analyzer,Sequential,,Text,High,Medium,Medium,Continuous,Medium,Medium,domain expert,The AI classifies tweet relevance.
13,Interactive Learning for Identifying Relevant Tweets to Support  Real-time Situational Awareness,2020,TVCG,http://arxiv.org/abs/1908.02588,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    A ->> H: Classify [tweet]

    note over H,A: Insight Synthesis
    H ->> A: Verify [label]
    opt Correction
        H ->> A: Relabel [data]
        A ->> H: Retrain [model]
    end
    A ->> H: Update [prediction]",,Insight Synthesis,Evaluator,Refiner,Repetitive,Text,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The user verifies or corrects labels, the system retrains the model and updates predictions."
14,FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System,2020,TVCG,https://ieeexplore.ieee.org/document/8807265/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Issue [query]

    note over H,A: Data Preparation
    A ->> H: Show [parse]
    alt Ambiguity
        A ->> H: Suggest [options]
        H ->> A: Confirm [choice]
    end

    note over H,A: Visualization
    A ->> A: Update [diagram]
    A ->> H: Render [view]

    note over H,A: Insight Synthesis
    opt Correction
        H ->> A: Adjust [command]
        A ->> H: Revise [diagram]
    end",,Goal Setting,Specifier,,Sequential,Text,,Medium,Medium,High,One-shot,High,Low,general user,The user describes analysis goals in natural language.
14,FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System,2020,TVCG,https://ieeexplore.ieee.org/document/8807265/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Issue [query]

    note over H,A: Data Preparation
    A ->> H: Show [parse]
    alt Ambiguity
        A ->> H: Suggest [options]
        H ->> A: Confirm [choice]
    end

    note over H,A: Visualization
    A ->> A: Update [diagram]
    A ->> H: Render [view]

    note over H,A: Insight Synthesis
    opt Correction
        H ->> A: Adjust [command]
        A ->> H: Revise [diagram]
    end",,Data Preparation,Recommender,Recommender,Decision,,Text Widget,High,Medium,Low,One-shot,Medium,Medium,general user,"The AI presents parsing results, offering options for ambiguity, and the user confirms."
14,FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System,2020,TVCG,https://ieeexplore.ieee.org/document/8807265/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Issue [query]

    note over H,A: Data Preparation
    A ->> H: Show [parse]
    alt Ambiguity
        A ->> H: Suggest [options]
        H ->> A: Confirm [choice]
    end

    note over H,A: Visualization
    A ->> A: Update [diagram]
    A ->> H: Render [view]

    note over H,A: Insight Synthesis
    opt Correction
        H ->> A: Adjust [command]
        A ->> H: Revise [diagram]
    end",,Visualization,,"Generator, Updater",Sequential,,Vis,Medium,Medium,Medium,Continuous,Low,High,general user,The AI updates the dataflow diagram and renders views.
