ID,Paper,Year,Publisher,Link,UML,UML_Image,Stage,Human Roles,AI Roles,Controls,Human modality,AI modality,Efficiency,Reliability,Interuption,Persistence,Expressive,Interpretability,Target user,Explanation
6,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,2016,CHI,https://doi.org/10.1109/TVCG.2015.2467191,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Select [variables]

    note over H,A: Visualization
    A ->> H: Recommend [views]
    H ->> A: Browse [gallery]

    note over H,A: Insight Synthesis
    alt Targeted
        H ->> A: Refine [encoding]
        A ->> H: Update [chart]
    else Broad
        H ->> A: Explore [suggestions]
        A ->> H: Expand [coverage]
    end",,Data Preparation,"Evaluator, Refiner",Refiner,Sequential,Widget Text,None,High,Medium,Low,One-shot,Medium,Medium,general user,The user selects data variables.
,,,,,,,Visualization,Specifier,None,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,general user,"The AI recommends candidate views, presenting a gallery of charts."
,,,,,,,Insight Synthesis,None,"Analyzer, Recommender",Decision,Vis,None,Medium,High,High,One-shot,High,High,general user,"The user refines encodings or browses suggestions, the system updates or extends chart coverage."
7,Visualization by Demonstration: An Interaction Paradigm for Visual Data Exploration,2016,TVCG,https://doi.org/10.1109/TVCG.2016.2598839,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Provide [demonstration]

    note over H,A: Visualization
    A ->> H: Recommend [transformation]

    note over H,A: Insight Synthesis
    opt Refine
        H ->> A: Modify [demonstration]
        A ->> H: Update [recommendation]
    end
    H ->> A: Select [visualization]",,Goal Setting,Specifier,None,Sequential,Sketch Vis,None,Medium,Medium,Low,One-shot,High,Low,general user,The user modifies a visualization directly through demonstration.
,,,,,,,Visualization,None,Recommender,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,general user,The system recommends transformations based on demonstrations.
,,,,,,,Insight Synthesis,"Refiner, Selector",Refiner,Repetitive,Vis,None,Medium,High,Medium,Continuous,High,High,general user,"The user refines demonstrations, the system updates recommendations, and selects the final visualization."
8,Voyager 2: Augmenting visual analysis with partial view specifications,2017,TVCG,https://idl.cs.washington.edu/files/2017-Voyager2-CHI.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [partial-spec]

    note over H,A: Visualization
    A ->> H: Generate [wildcards]
    A ->> H: Recommend [views]

    note over H,A: Insight Synthesis
    alt Focused
        H ->> A: Refine [chart]
        A ->> H: Update [view]
    else Exploratory
        H ->> A: Browse [related]
        A ->> H: Suggest [alternatives]
    end",,Data Preparation,Selector,None,Sequential,Text Vis Widget,None,High,Medium,Low,One-shot,Medium,Medium,general user,The user provides partial chart specifications.
,,,,,,,Visualization,None,Analyzer,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,general user,The system generates wildcard charts and recommends related views.
,,,,,,,Insight Synthesis,None,Generator,Decision,Vis,None,Medium,High,High,One-shot,High,High,general user,"The user refines or browses related charts, the system updates recommendations."
9,The Exploratory Labeling Assistant: Mixed-Initiative Label Curation with Large Document Collections,2018,CHI,https://doi.org/10.1145/3242587.3242596,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Ideate [label]

    note over H,A: Data Preparation
    A ->> H: Suggest [term]
    H ->> A: Specify [rule]

    note over H,A: Visualization
    A ->> H: Match [documents]

    note over H,A: Insight Synthesis
    H ->> A: Evaluate [labels]
    A ->> H: Recommend [refinement]",,Goal Setting,Recommender,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user proposes initial labeling ideas.
,,,,,,,Data Preparation,Transformer,Recommender,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The system suggests terminology, the user defines rules."
,,,,,,,Visualization,None,None,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,The system matches documents to labels and visualizes coverage.
,,,,,,,Insight Synthesis,Evaluator,Recommender,Sequential,Text,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The user evaluates labels, the system recommends further refinement."
10,Podium: Ranking Data Using Mixed-Initiative Visual Analytics,2018,UIST,https://cav-lab.github.io/media/papers/PodiumVAST17.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Rank [subset]

    note over H,A: Data Preparation
    A ->> H: Infer [weights]

    note over H,A: Visualization
    A ->> H: Generate [ranking]

    note over H,A: Insight Synthesis
    opt Preference Adjustment
        H ->> A: Adjust [preference]
        A ->> H: Update [model]
    end
    H ->> A: Interpret [attributes]",,Goal Setting,None,Generator,Sequential,Widget,None,Medium,Medium,Low,One-shot,High,Low,general user,The user sorts data by dragging table rows.
,,,,,,,Data Preparation,Evaluator,None,Sequential,None,Text,High,Medium,Low,One-shot,Medium,Medium,general user,The system infers a weighting model.
,,,,,,,Visualization,Selector,None,Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,general user,The system generates a ranked table view.
,,,,,,,Insight Synthesis,None,Interpreter,Repetitive,Vis Widget,None,Medium,High,Low,One-shot,High,High,general user,"The user adjusts preferences, the system updates the model and shows attribute contributions."
11,Managing Messes in Computational Notebooks,2019,TVCG,https://dl.acm.org/doi/10.1145/3290605.3300500,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [result]

    note over H,A: Data Preparation
    A ->> H: Slice [code]

    note over H,A: Insight Synthesis
    H ->> A: Review [history]
    opt Clean
        H ->> A: Remove [cell]
        A ->> H: Update [notebook]
    end
    opt Compare
        H ->> A: Request [version]
        A ->> H: Retrieve [slice]
    end",,Goal Setting,Executor,None,Sequential,Vis Widget,None,Medium,Medium,Low,One-shot,High,Low,general user,The user selects results to keep or clean.
,,,,,,,Data Preparation,None,"Generator, Recommender",Sequential,None,Code,High,Medium,Medium,Continuous,Medium,Medium,general user,The AI segments relevant code snippets.
,,,,,,,Insight Synthesis,"Refiner, Selector","Recommender, Refiner",Repetitive,Text Widget,Code,Medium,High,Low,One-shot,High,High,general user,"The user reviews history, cleans cells, compares versions, and the AI updates the notebook."
12,Visual Analytics for Topic Model Optimization based on User-Steerable Speculative Execution,2019,CHI,https://doi.org/10.1109/TVCG.2018.2864769,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Initialize [seed]  
    A ->> A: Build [model]  

    note over H,A: Visualization
    A ->> H: Display [tree]  

    note over H,A: Insight Synthesis
    A ->> H: Request [feedback]  
    alt Quality drop
        A ->> H: Propose [option]  
        H ->> A: Select [option]  
        A ->> H: Preview [effect]  
    end
    H ->> A: Confirm [update]  
    A ->> H: Improve [model]",,Data Preparation,Executor,Executor,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The user sets an initial seed, the AI builds a model."
,,,,,,,Visualization,None,Presenter,Sequential,None,Vis,Medium,Medium,High,One-shot,Low,High,domain expert,The AI presents a topic tree view.
,,,,,,,Insight Synthesis,"Evaluator, Selector","Evaluator, Recommender, Refiner",Decision,None,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The AI proposes optimizations, the user previews and selects, the system updates the model."
13,Interactive Learning for Identifying Relevant Tweets to Support  Real-time Situational Awareness,2020,TVCG,http://arxiv.org/abs/1908.02588,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    A ->> H: Classify [tweet]

    note over H,A: Insight Synthesis
    H ->> A: Verify [label]
    opt Correction
        H ->> A: Relabel [data]
        A ->> H: Retrain [model]
    end
    A ->> H: Update [prediction]",,Data Preparation,None,Analyzer,Sequential,None,Text,High,Medium,Medium,Continuous,Medium,Medium,domain expert,The AI classifies tweet relevance.
,,,,,,,Insight Synthesis,Evaluator,Refiner,Repetitive,Text,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The user verifies or corrects labels, the system retrains the model and updates predictions."
14,FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System,2020,TVCG,https://ieeexplore.ieee.org/document/8807265/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Issue [query]

    note over H,A: Data Preparation
    A ->> H: Show [parse]
    alt Ambiguity
        A ->> H: Suggest [options]
        H ->> A: Confirm [choice]
    end

    note over H,A: Visualization
    A ->> A: Update [diagram]
    A ->> H: Render [view]

    note over H,A: Insight Synthesis
    opt Correction
        H ->> A: Adjust [command]
        A ->> H: Revise [diagram]
    end",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,High,One-shot,High,Low,general user,The user describes analysis goals in natural language.
,,,,,,,Data Preparation,Recommender,Recommender,Decision,None,Text Widget,High,Medium,Low,One-shot,Medium,Medium,general user,"The AI presents parsing results, offering options for ambiguity, and the user confirms."
,,,,,,,Visualization,None,"Generator, Updater",Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,general user,The AI updates the dataflow diagram and renders views.
,,,,,,,Insight Synthesis,Refiner,Refiner,Repetitive,Text,Vis,Medium,High,Low,One-shot,High,High,general user,"The user corrects commands, the system updates charts, combining text instructions with visualization."
15,Semantic Concept Spaces: Guided Topic Model Refinement using Word-Embedding Projections,2020,TVCG,https://doi.org/10.1109/TVCG.2019.2934654,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Visualization
    A ->> H: Present [concepts]

    note over H,A: Insight Synthesis
    H ->> A: Diagnose [conflict]
    A ->> H: Suggest [action]
    H ->> A: Refine [relations]
    A ->> H: Update [topics]
    H ->> A: Adjust [concepts]
    A ->> H: Show [results]",,Visualization,None,Presenter,Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,domain expert,The system presents semantic spaces and conceptual regions.
,,,,,,,Insight Synthesis,Refiner,"Recommender, Refiner",Repetitive,Vis,Text,Medium,High,Low,One-shot,High,High,domain expert,"The user diagnoses conflicts and adjusts concept relations, the AI provides suggestions and updates the model."
16,Towards Visual Explainable Active Learning for Zero-Shot Classification,2021,TVCG,https://arxiv.org/abs/2108.06730,"sequenceDiagram 
   note over H,A: goal setting 
   A ->> H: Ask [question] 
   A ->> H: Explain [status] 

   note over H,A: insight synthesis 
   A ->> H: Recommend [labels] 
   H ->> A: Respond [feedback] 
   A ->> A: Update [model]",,Goal Setting,None,Specifier,Sequential,Text,Text,Medium,Medium,Medium,Continuous,High,Low,domain expert,"The AI asks questions and explains system state to help set goals, using text questions and explanations."
,,,,,,,Insight Synthesis,Refiner,"Recommender, Refiner",Repetitive,Text,Text Vis,Medium,High,Low,One-shot,High,High,domain expert,"The AI recommends labels (text), people provide feedback and modifications."
17,Geono-Cluster: Interactive Visual Cluster Analysis for Biologists,2021,TVCG,https://ieeexplore.ieee.org/document/9128014/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [data]

    note over H,A: Visualization
    A ->> H: Show [layout]
    H ->> A: Demonstrate [action]
    A ->> H: Recommend [clusters]

    note over H,A: Insight Synthesis
    H ->> A: Select [option]
    A ->> H: Update [view]
    opt Exploration
        H ->> A: Adjust [features]
        A ->> H: Revise [recommendation]
    end
    opt Subcluster
        H ->> A: Request [subcluster]
        A ->> H: Generate [panel]
    end
    opt MergeSplit
        H ->> A: Drag [cluster]
        A ->> H: Recompute [layout]
    end",,Data Preparation,Executor,None,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,domain expert,The person inputs biological datasets.
,,,,,,,Visualization,None,"Presenter, Recommender",Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,domain expert,The system displays cluster layouts and recommends clusters through visualization.
,,,,,,,Insight Synthesis,"Refiner, Selector","Producer, Refiner",Repetitive,Vis Widget,None,Medium,High,Low,One-shot,High,High,domain expert,"The user selects or adjusts clusters, the system updates layouts and provides recommendations."
18,Integrated Dual Analysis of Quantitative and Qualitative High-Dimensional Data,2021,TVCG,https://ieeexplore.ieee.org/document/9346003/,"sequenceDiagram
    participant H as Human
    participant A as AI

   note over H,A: Visualization
    A ->> H: Compute [overview]
    H ->> A: Select [subset]
    A ->> H: Update [statistics]
    H ->> A: Explore [dimensions]
    A ->> H: Highlight [deviation]

    note over H,A: Insight Synthesis
    opt Missingness
        A ->> H: Encode [transparency]
        H ->> A: Filter [values]
    end
    opt Hypothesis
        H ->> A: Form [hypothesis]
        A ->> H: Show [correlation]
    end",,Visualization,Explorer,Updater,Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,domain expert,The system generates statistical overviews and highlights deviations through visualization.
,,,,,,,Insight Synthesis,Selector,None,Repetitive,Text,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The user proposes hypotheses and filters values, the AI visualizes missingness or shows correlations."
19,DimLift: Interactive Hierarchical Data Exploration Through Dimensional Bundling,2021,TVCG,https://ieeexplore.ieee.org/document/9349198/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Visualization
    A ->> H: Generate [bundles]
    H ->> A: Explore [view]
    A ->> H: Show [feedback]

    note over H,A: Insight Synthesis
    opt Structural
        H ->> A: Modify [bundle]
        A ->> H: Update [layout]
    end
    opt View
        H ->> A: Drilldown [axis]
        A ->> H: Display [detail]
    end
    opt Missingness
        A ->> H: Encode [glyphs]
        H ->> A: Filter [subset]
    end
    H ->> A: Form [hypothesis]
    A ->> H: Support [evidence]",,Visualization,Explorer,"Generator, Presenter",Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,domain expert,"The system generates dimension bundles and presents them, the user explores views."
,,,,,,,Insight Synthesis,"Refiner, Selector","Producer, Recommender, Refiner",Repetitive,Vis,None,Medium,High,Low,One-shot,High,High,domain expert,"The user modifies bundles or drills down, the AI updates layouts and shows evidence."
20,Integrating Prior Knowledge in Mixed-Initiative Social Network Clustering,2021,TVCG,https://doi.org/10.1109/TVCG.2020.3030347,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Provide [goal]

    note over H,A: Data Preparation
    A ->> H: Run [task]
    A ->> H: Rank [table]
    H ->> A: Select [task]

    note over H,A: Visualization
    A ->> H: Show [vis]

    note over H,A: Insight Synthesis
    alt Expand clusters
        A ->> H: Suggest [insight]
        H ->> A: Accept [goal]
    else Extra clusters
        A ->> H: Suggest [insight]
        H ->> A: Reject [goal]
    end",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user provides clustering goals or prior knowledge.
,,,,,,,Data Preparation,None,"Analyzer, Executor",Sequential,None,Vis Text,High,Medium,Low,One-shot,Medium,Medium,domain expert,The system runs clustering algorithms and ranks results in tables and text.
,,,,,,,Visualization,None,Presenter,Sequential,None,Vis,Medium,Medium,High,One-shot,Low,High,domain expert,The system presents clustering results.
,,,,,,,Insight Synthesis,Evaluator,Recommender,Decision,None,Text Vis,Medium,High,Low,Continuous,High,High,domain expert,"The system recommends extended clusters, the user accepts or rejects, combining text and visualization."
21,Interweaving Multimodal Interaction With Flexible Unit Visualizations for Data Exploration,2021,TVCG,https://ieeexplore.ieee.org/document/9023002/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    par Direct manipulation
        H ->> A: Manipulate [view]
    and Natural language
        H ->> A: Speak [command]
    end

    note over H,A: Data Preparation
    A ->> H: Interpret [input]

    note over H,A: Visualization
    A ->> H: Update [visualization]

    note over H,A: Insight Synthesis
    opt Customize
        H ->> A: Reorganize [marks]
        A ->> H: Reflect [layout]
    end",,Goal Setting,"Demonstrator, Specifier",None,Parallel,Speech Widget Sketch Vis,None,Medium,Medium,Low,One-shot,High,Low,general user,"The user manipulates views or commands directly via speech, pen, or touch."
,,,,,,,Data Preparation,None,Interpreter,Sequential,None,Text Widget,High,Medium,Low,One-shot,Medium,Medium,general user,The system interprets multimodal input.
,,,,,,,Visualization,None,Updater,Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,general user,The system updates flexible cell visualizations.
,,,,,,,Insight Synthesis,Producer,None,Repetitive,Vis,None,Medium,High,Low,One-shot,High,High,general user,"The user customizes markers, the system updates layouts."
22,Snowy: Recommending Utterances for Conversational Visual Analysis,2021,UIST,https://doi.org/10.1145/3472749.3474792,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Ask [utterance]

    note over H,A: Visualization
    A ->> H: Show [visualization]

    note over H,A: Insight Synthesis
    opt Cold start
        A ->> H: Suggest [utterance]
    end
    opt Follow-up
        A ->> H: Suggest [utterance]
        H ->> A: Select [utterance]
        A ->> H: Update [visualization]
    end
    opt Deictic
        H ->> A: Select [marks]
        A ->> H: Suggest [utterance]
    end",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,novice/general,The user poses questions via natural language utterance.
,,,,,,,Visualization,None,Presenter,Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,novice/general,The AI presents visualization results.
,,,,,,,Insight Synthesis,Selector,"Recommender, Refiner",Repetitive,Widget,Text Vis,Medium,High,Medium,Continuous,High,High,novice/general,"The AI recommends further utterances, the user selects or chooses based on visualization."
23,Learning Contextualized User Preferences for Co-Adaptive Guidance in Mixed-Initiative Topic Model Refinement,2021,CGF,https://onlinelibrary.wiley.com/doi/10.1111/cgf.14301,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Visualization
    A ->> H: Suggest [refinement operation, preview, justification]

    note over H,A: Insight Synthesis
    alt Accept suggestion
        H ->> A: Provide [positive feedback]
        A ->> A: Learn [preference rule]
    else Reject suggestion
        H ->> A: Provide [negative feedback]
        A ->> A: Adjust [when to guide]
    end
    H ->> H: Update [topic model understanding]",,Visualization,None,Recommender,Repetitive,None,Vis Text,Medium,Medium,High,One-shot,Low,High,domain expert,The AI suggests model improvement operations and presents previews.
,,,,,,,Insight Synthesis,"Refiner, Selector",Refiner,Decision,Text,None,Medium,High,Low,Continuous,High,High,domain expert,"The user accepts or rejects, the AI learns preference rules."
24,Lumos: Increasing Awareness of Analytic Behavior during Visual Data Analysis,2022,TVCG,https://ieeexplore.ieee.org/document/9552196/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    par User exploration
        H ->> A: Explore [data]
    and System monitoring
        note over H,A: Visualization
        A ->> A: Capture [trace]
        A ->> H: Provide [feedback]
    end

    note over H,A: Insight Synthesis
    H ->> A: Reflect [behavior]
    A ->> H: Compare [distribution]
    H ->> A: Adjust [analysis]",,Goal Setting,Demonstrator,None,Parallel,Vis,None,Medium,Medium,Low,Continuous,High,Low,general user,"The user freely explores data, mainly via visualization interfaces."
,,,,,,,Visualization,None,Updater,Parallel,None,Vis,Medium,Medium,Medium,Continuous,Low,High,general user,The system captures trajectories and provides feedback with in-situ and ex-situ visualizations.
,,,,,,,Insight Synthesis,Refiner,None,Repetitive,Vis,None,Medium,High,Low,One-shot,High,High,general user,"The user reflects on analytic behavior, the system compares with baseline distributions and visualizes differences."
25,Erato: Cooperative Data Story Editing via Fact Interpolation,2022,TVCG,http://arxiv.org/abs/2209.02529,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [dataset]

    note over H,A: Visualization
    A ->> H: Recommend [facts]
    H ->> A: Select [keyframes]
    A ->> H: Interpolate [candidates]

    note over H,A: Insight Synthesis
    H ->> A: Edit [facts]
    A ->> H: Update [story]
    opt Refinement
        H ->> A: Adjust [keyframe]
        A ->> H: Revise [candidates]
    end
    A ->> H: Render [story]",,Data Preparation,Executor,None,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,general user,The user provides a dataset as input.
,,,,,,,Visualization,None,"Generator, Recommender",Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,general user,"The AI recommends facts and interpolates keyframes, visualizing candidates."
,,,,,,,Insight Synthesis,Refiner,Refiner,Repetitive,Vis Text,None,Medium,High,Low,One-shot,High,High,general user,"The user edits story facts, the system updates and renders stories, combining text and visualization."
26,Tisane: Authoring Statistical Models via Formal Reasoning from Conceptual and Data Relationships,2022,CHI,https://doi.org/10.1145/3491102.3501888,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Specify [design]

    note over H,A: Data Preparation
    A ->> A: Compile [graph]
    A ->> H: Ask [question]
    H ->> A: Provide [answer]

    note over H,A: Insight Synthesis
    A ->> A: Infer [model]
    A ->> H: Output [code]",,Goal Setting,Specifier,None,Sequential,Code,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user specifies a research design language.
,,,,,,,Data Preparation,Executor,Interpreter,Sequential,Text,Code,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The system compiles graphs and raises questions, the user answers."
,,,,,,,Insight Synthesis,None,"Producer, Recommender",Sequential,None,Code,Medium,High,Low,One-shot,High,High,domain expert,The system infers statistical models and outputs code.
27,VitaLITy: Promoting Serendipitous Discovery of Academic Literature,2022,TVCG,https://arxiv.org/abs/2108.03366,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Input [query]

    note over H,A: Data Preparation
    A ->> H: Generate [embedding]

    note over H,A: Visualization
    A ->> H: Recommend [papers]

    note over H,A: Insight Synthesis
    H ->> A: Filter [results]
    H ->> A: Save [papers]
    A ->> H: Export [collection]",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user inputs queries or summaries.
,,,,,,,Data Preparation,None,Analyzer,Sequential,None,Text,High,Medium,Low,One-shot,Medium,Medium,domain expert,The system generates embeddings.
,,,,,,,Visualization,None,Recommender,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,The system recommends literature and visualizes scatterplots.
,,,,,,,Insight Synthesis,Selector,Producer,Sequential,Vis Widget,None,Medium,High,Low,One-shot,High,High,domain expert,"The user filters and saves results, the system exports collections."
28,Scholastic: Graphical Human-AI Collaborationfor Inductive and Interpretive Text Analysis,2022,UIST,https://dl.acm.org/doi/pdf/10.1145/3526113.3545681,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Sample [documents]
    H ->> A: Apply [codes]

    note over H,A: Data Preparation
    A ->> H: Generate [clusters]
    H ->> A: Refine [categories]

    note over H,A: Visualization
    A ->> H: Visualize [clusters]

    note over H,A: Insight Synthesis
    H ->> A: Interpret [themes]",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Medium,Continuous,High,Low,domain expert,"The user samples documents and applies codes, with goals implied in research questions."
,,,,,,,Data Preparation,None,Executor,Repetitive,Text,Vis,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The AI generates clusters, the user refines categories, combining text and visualization."
,,,,,,,Visualization,None,Explorer,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,The system presents clusters of documents and words.
